,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
0,USA,560433,133,22115,10,32634,505684,11766,1693,67,2833112,8559
1,Spain,166831,0,17209,0,62391,87231,7371,3568,368,600000,12833
2,Italy,156363,0,19899,0,34211,102253,3343,2586,329,1010193,16708
3,France,132591,0,14393,0,27186,91012,6845,2031,221,333807,5114
4,Germany,127854,0,3022,0,64300,60532,4895,1526,36,1317887,15730
5,UK,84279,0,10612,0,0,73323,1559,1241,156,352974,5200
6,China,82160,108,3341,2,77663,1156,121,57,2,0,0
7,Iran,71686,0,4474,0,43894,23318,3930,853,53,263388,3136
8,Turkey,56956,0,1198,0,3446,52312,1665,675,14,376100,4459
9,Belgium,29647,0,3600,0,6463,19584,1223,2558,311,102151,8814
10,Netherlands,25587,0,2737,0,250,22600,1384,1493,160,101534,5926
11,Switzerland,25415,0,1106,0,12700,11609,386,2937,128,193800,22393
12,Canada,24383,0,717,0,7172,16494,557,646,19,422200,11186
13,Brazil,22318,126,1230,7,173,20915,296,105,6,62985,296
14,Portugal,16585,0,504,0,277,15804,228,1627,49,163616,16046
15,Russia,15770,0,130,0,1291,14349,8,108,0.9,1200000,8223
16,Austria,13945,0,350,0,6987,6608,243,1548,39,144877,16086
17,Israel,11145,0,103,0,1627,9415,183,1288,12,117339,13557
18,S. Korea,10537,25,217,3,7447,2873,55,206,4,514621,10038
19,Sweden,10483,0,899,0,381,9203,839,1038,89,54700,5416
20,Ireland,9655,0,334,0,25,9296,194,1955,68,53000,10734
21,India,9240,35,331,0,1096,7813,0,7,0.2,189111,137
22,Peru,7519,0,193,0,1798,5528,134,228,6,76506,2320
23,Ecuador,7466,0,333,0,501,6632,184,423,19,23635,1340
24,Japan,7370,0,123,0,784,6463,129,58,1,77381,612
25,Chile,7213,0,80,0,2059,5074,387,377,4,82271,4304
26,Poland,6674,0,232,0,439,6003,160,176,6,138007,3646
27,Norway,6525,0,128,0,32,6365,59,1204,24,126486,23332
28,Australia,6351,38,61,2,3338,2952,81,249,2,353941,13880
