,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,World,"173,332,025","+20,224","3,727,759",+582,"156,322,893","+39,290","13,281,373","88,095","22,237",478.2,,,,All,"
",,,,,
1,1,USA,"34,192,023",,"612,240 ",,"28,054,995",,"5,524,788","5,631","102,741","1,840","483,364,333","1,452,431","332,796,717 ",North America,10,544,1,,,"16,601"
2,2,India,"28,694,879","+1,044","344,101 ",,"26,795,549","+8,419","1,555,229","8,944","20,606",247,"361,174,142","259,365","1,392,531,169 ",Asia,49,"4,047",4,0.7,,"1,117"
3,3,Brazil,"16,841,954",,"470,968 ",,"15,239,692",,"1,131,294","8,318","78,717","2,201","49,842,105","232,955","213,955,536 ",South America,13,454,4,,,"5,288"
4,4,France,"5,701,029",,"109,916 ",,"5,392,959",,"198,154","2,571","87,162","1,680","86,268,096","1,318,940","65,407,141 ",Europe,11,595,1,,,"3,030"
5,5,Turkey,"5,276,468",,"47,976  ",,"5,147,610",,"80,882","1,183","61,947",563,"55,034,469","646,121","85,176,748 ",Asia,16,"1,775",2,,,950
6,6,Russia,"5,108,129",,"123,037 ",,"4,720,512",,"264,580","2,300","34,989",843,"139,500,000","955,529","145,992,382 ",Europe,29,"1,187",1,,,"1,812"
7,7,UK,"4,506,016",,"127,823 ",,"4,270,560",,"107,633",134,"66,055","1,874","186,643,217","2,736,075","68,215,678 ",Europe,15,534,0,,,"1,578"
8,8,Italy,"4,227,719",,"126,415 ",,"3,901,112",,"200,192",836,"70,019","2,094","66,938,917","1,108,637","60,379,497 ",Europe,14,478,1,,,"3,316"
9,9,Argentina,"3,915,397",,"80,411 ",,"3,465,137",,"369,849","7,668","85,904","1,764","14,400,158","315,940","45,578,757 ",South America,12,567,3,,,"8,115"
10,10,Germany,"3,704,685",,"89,733 ",,"3,533,900","+6,900","81,052","2,036","44,087","1,068","61,380,686","730,446","84,031,739 ",Europe,23,936,1,,,965
11,11,Spain,"3,697,987",,"80,196 ",,"3,471,163",,"146,628","1,163","79,065","1,715","49,708,830","1,062,801","46,771,540 ",Europe,13,583,1,,,"3,135"
12,12,Colombia,"3,518,046",,"90,890 ",,"3,267,100",,"160,056","6,582","68,466","1,769","17,402,787","338,684","51,383,506 ",South America,15,565,3,,,"3,115"
